date,state,area
01/01/2021,Johor,334502
01/01/2021,Kedah,341976
01/01/2021,Kelantan,629881
01/01/2021,Melaka,5199
01/01/2021,NegeriSembilan,155143
01/01/2021,Pahang,1588298
01/01/2021,Perak,986848
01/01/2021,Perlis,10629
01/01/2021,Pulau Pinang,5387
01/01/2021,Sabah,3574468
01/01/2021,Sarawak,3964880
01/01/2021,Selangor,250208
01/01/2021,Semenanjung Malaysia,4848448
01/01/2021,Terengganu,540309
01/01/2021,KualaLumpur,68
01/01/2021,Labuan,0
01/01/2021,Putrajaya,0
